shortnam,euro1900,excolony,avexpr,logpgp95,cons1,cons90,democ00a,cons00a,extmort4,logem4,loghjypl,baseco
AFG,0.0,1.0,,,1.0,2.0,1.0,1.0,93.7,4.540098,,
AGO,8.0,1.0,5.3636365,7.770645,3.0,3.0,0.0,1.0,280.0,5.6347895,-3.4112477,1.0
ARE,0.0,1.0,7.181818,9.804219,,,,,,,,
ARG,60.000004,1.0,6.3863635,9.133459,1.0,6.0,3.0,3.0,68.9,4.232656,-0.8722738,1.0
ARM,0.0,0.0,,7.6824822,,,,,,,,
AUS,98.0,1.0,9.318182,9.897972,7.0,7.0,10.0,7.0,8.55,2.1459312,-0.17078833,1.0
AUT,100.0,0.0,9.727273,9.974877,,,,,,,-0.34389976,
AZE,0.0,0.0,,7.3065314,,,,,,,,
BDI,0.0,1.0,,6.565265,5.0,1.0,0.0,1.0,280.0,5.6347895,-3.506558,
BEL,100.0,0.0,9.681818,9.992871,,,,,,,-0.17912664,
BEN,0.0,1.0,,7.090077,3.0,1.0,0.0,1.0,266.52,5.585449,-2.8302178,
BFA,0.0,1.0,4.4545455,6.84588,3.0,1.0,0.0,1.0,280.0,5.6347895,-3.5404594,1.0
BGD,0.0,1.0,5.1363635,6.877296,7.0,2.0,0.0,1.0,71.41,4.268438,-2.063568,1.0
BGR,100.0,0.0,8.909091,8.457443,,,,,,,,
BHR,0.0,1.0,8.0,9.685953,,,,,,,,
BHS,10.0,1.0,7.5,9.285448,,,,,85.0,4.4426513,,1.0
BIH,100.0,0.0,,,,,,,,,,
BLR,100.0,0.0,,8.340456,,,,,,,,
BLZ,20.0,1.0,,8.377932,,,,1.0,163.3,5.095589,,
BOL,30.000002,1.0,5.6363635,7.9266024,3.0,7.0,4.0,3.0,71.0,4.26268,-1.9661129,1.0
BRA,40.0,1.0,7.909091,8.727454,1.0,7.0,1.0,3.0,71.0,4.26268,-1.1425642,1.0
BRB,20.0,1.0,,9.266721,,,,1.0,85.0,4.4426513,-0.90634036,
BTN,0.0,1.0,,,1.0,2.0,0.0,1.0,,,,
BWA,0.0,1.0,7.7272725,8.855093,7.0,7.0,0.0,1.0,,,-2.3644605,
CAF,0.0,1.0,,7.192934,1.0,1.0,0.0,1.0,280.0,5.6347895,-3.4112477,
CAN,99.0,1.0,9.727273,9.986449,7.0,7.0,9.0,7.0,16.1,2.7788193,-0.060812157,1.0
CHE,100.0,0.0,10.0,10.120211,,,,,,,-0.13467489,
CHL,50.0,1.0,7.818182,9.336092,1.0,7.0,5.0,7.0,68.9,4.232656,-1.3356012,1.0
CHN,0.0,0.0,7.7727275,7.886081,,,,,118.0,4.7706847,-2.8134108,
CIV,0.0,1.0,7.0,7.4442487,1.0,2.0,0.0,1.0,668.0,6.504288,-2.3330443,1.0
CMR,0.0,1.0,6.4545455,7.501082,3.0,2.0,0.0,1.0,280.0,5.6347895,-2.577022,1.0
COG,0.0,1.0,4.681818,7.420579,4.0,2.0,0.0,1.0,240.0,5.480639,-2.1037343,1.0
COL,20.0,1.0,7.318182,8.809863,3.0,6.0,3.0,5.0,71.0,4.26268,-1.3318062,1.0
COM,5.0,1.0,,7.3839893,5.0,5.0,0.0,1.0,,,-3.3524072,
CPV,5.0,1.0,,7.979339,,,,,,,-2.577022,
CRI,20.0,1.0,7.0454545,8.794825,3.0,7.0,10.0,7.0,78.1,4.3579903,-1.3586792,1.0
CZE,100.0,0.0,8.863636,9.204322,,,,,,,-1.5558971,
DEU,100.0,0.0,,9.935471,,,,,,,-0.20089293,
DJI,0.0,1.0,,,,,,,26.0,3.2580965,,
DNK,100.0,0.0,9.727273,10.005592,,,,,,,-0.37106368,
DOM,25.0,1.0,6.181818,8.364042,3.0,6.0,1.0,3.0,130.0,4.8675346,-1.5798792,1.0
DZA,13.0,1.0,6.5,8.389359,2.0,2.0,0.0,1.0,78.2,4.3592696,-1.1147417,1.0
ECU,30.000002,1.0,6.5454545,8.470101,3.0,7.0,1.0,3.0,71.0,4.26268,-1.4396951,1.0
EGY,0.0,1.0,6.7727275,7.9515595,1.0,3.0,7.0,7.0,67.8,4.2165623,-1.6766466,1.0
ERI,0.0,1.0,,6.6200733,,,,,,,,
ESP,100.0,0.0,9.681818,9.618468,,,,,,,-0.38272566,
EST,100.0,0.0,,8.393895,,,,,,,,
ETH,0.0,1.0,5.7272725,6.1092477,1.0,2.0,5.0,7.0,26.0,3.2580965,,1.0
FIN,100.0,0.0,9.727273,9.826066,,,,,,,-0.3092462,
FJI,,1.0,,8.301521,7.0,7.0,0.0,1.0,11.4,2.4336133,-1.2982835,
FRA,100.0,0.0,9.727273,9.963641,,,,,2.88,1.0577903,-0.20089293,
GAB,0.0,1.0,7.818182,8.907883,2.0,2.0,0.0,1.0,280.0,5.6347895,-1.8515095,1.0
GBR,100.0,0.0,9.772727,9.87817,,,,,2.55,0.93609333,-0.3188288,
GEO,100.0,0.0,,7.3714895,,,,,,,,
GHA,0.0,1.0,6.2727275,7.36518,1.0,1.0,0.0,1.0,668.0,6.504288,-2.9565115,1.0
GIN,0.0,1.0,6.5454545,7.4899707,1.0,1.0,0.0,1.0,483.0,6.1800165,-3.1465552,1.0
GMB,0.0,1.0,8.272727,7.2723985,7.0,7.0,0.0,1.0,1470.0,7.293018,-3.0365543,1.0
GNB,0.0,1.0,4.5454545,,3.0,3.0,0.0,1.0,164.66,5.103883,-3.2441936,
GRC,100.0,0.0,7.818182,9.39765,,,,,,,-0.7571525,
GTM,20.0,1.0,5.1363635,8.294049,1.0,4.0,0.0,1.0,71.0,4.26268,-1.5606477,1.0
GUY,2.0,1.0,5.8863635,7.904704,7.0,4.0,0.0,1.0,32.18,3.4713452,-2.253795,1.0
HKG,4.0,1.0,8.136364,10.04975,,,,,14.9,2.7013612,-0.49758044,1.0
HND,20.0,1.0,5.318182,7.6870804,3.0,5.0,6.0,5.0,78.1,4.3579903,-2.040221,1.0
HRV,100.0,0.0,,8.418477,,,,,,,,
HTI,0.0,1.0,3.7272727,7.1467724,1.0,1.0,0.0,1.0,130.0,4.8675346,-2.864704,1.0
HUN,100.0,0.0,9.0,8.809863,,,,,,,-1.1809075,
IDN,0.0,1.0,7.590909,8.070906,1.0,2.0,0.0,1.0,170.0,5.1357985,-2.207275,1.0
IND,0.0,1.0,8.272727,7.326,7.0,7.0,0.0,1.0,48.63,3.8842406,-2.453408,1.0
IRL,,0.0,9.727273,9.769384,,,,,,,-0.549913,
IRN,0.0,0.0,4.7727275,8.605204,,,,,,,-1.22078,
IRQ,0.0,1.0,1.6363636,,,,,,,,,
ISL,100.0,0.0,9.727273,9.943669,,,,,,,-0.3147107,
ISR,0.0,1.0,8.545455,9.784141,,,,,,,-0.41703176,
ITA,100.0,0.0,9.454545,9.897972,,,,,,,-0.18152189,
JAM,1.9,1.0,7.090909,8.188689,7.0,7.0,0.0,1.0,130.0,4.8675346,-2.040221,1.0
JOR,0.0,1.0,6.7727275,8.171882,,,,,,,-0.87707,
JPN,0.0,0.0,9.727273,10.034077,,,,,,,-0.53273046,
KAZ,,0.0,,8.131531,,,,,,,,
KEN,0.0,1.0,6.0454545,7.056175,5.0,3.0,0.0,1.0,145.0,4.9767337,-2.8824036,1.0
KGZ,,0.0,,7.575585,,,,,,,,
KOR,0.0,0.0,8.636364,9.415728,,,,,118.0,4.7706847,-0.967584,
KWT,0.0,1.0,7.0454545,9.803667,,,,,,,,
LAO,0.0,1.0,,7.090077,5.0,3.0,0.0,1.0,140.0,4.9416423,,
LBR,0.0,0.0,3.6363637,,7.0,1.0,1.0,4.0,483.0,6.1800165,,
LBY,0.0,1.0,5.2727275,,3.0,1.0,0.0,1.0,,,,
LKA,0.0,1.0,6.0454545,7.7319307,7.0,5.0,0.0,1.0,69.8,4.245634,-1.8643302,1.0
LSO,0.0,1.0,,7.3065314,7.0,1.0,0.0,1.0,,,-2.7646205,
LTU,100.0,0.0,,8.237479,,,,,,,,
LUX,100.0,0.0,10.0,10.28875,,,,,,,-0.014098923,
LVA,100.0,0.0,,8.154788,,,,,,,,
MAR,1.0,1.0,7.090909,8.042378,1.0,2.0,1.0,1.0,78.2,4.3592696,-1.6766466,1.0
MDA,100.0,0.0,,7.377759,,,,,,,,
MDG,0.0,1.0,4.4545455,6.8351846,4.0,3.0,0.0,1.0,536.04,6.284209,-3.194183,1.0
MEX,15.000001,1.0,7.5,8.943768,3.0,3.0,0.0,1.0,71.0,4.26268,-0.83701754,1.0
MKD,100.0,0.0,,8.061487,,,,,,,,
MLI,0.0,1.0,4.0,6.565265,3.0,1.0,0.0,1.0,2940.0,7.986165,-3.3524072,1.0
MLT,,1.0,7.2272725,9.427063,,,,,16.3,2.791165,-0.77002823,1.0
MMR,0.0,1.0,5.7727275,,7.0,1.0,0.0,1.0,34.6,3.5438535,-3.5404594,
MNG,0.0,0.0,7.3636365,7.2997975,,,,,,,,
MOZ,2.5,1.0,6.5,6.461468,2.0,3.0,0.0,1.0,,,-3.2441936,
MRT,0.0,1.0,,7.4145727,5.0,3.0,0.0,1.0,280.0,5.6347895,-2.9957323,
MUS,5.0,1.0,,9.053686,7.0,7.0,0.0,1.0,30.5,3.4177268,-1.3394108,
MWI,2.7,1.0,6.818182,6.461468,1.0,1.0,0.0,1.0,,,-3.506558,
MYS,0.0,1.0,7.9545455,8.8942585,7.0,7.0,0.0,1.0,17.7,2.8735647,-1.3205067,1.0
NAM,0.0,1.0,,8.515191,3.0,3.0,0.0,1.0,,,-1.6398971,
NER,0.0,1.0,5.0,6.733402,3.0,3.0,0.0,1.0,400.0,5.9914646,-3.5404594,1.0
NGA,0.0,1.0,5.5454545,6.8134446,7.0,1.0,0.0,1.0,2004.0,7.6029005,-3.0365543,1.0
NIC,20.0,1.0,5.2272725,7.544332,1.0,3.0,1.0,1.0,163.3,5.095589,-2.0714734,1.0
NLD,100.0,0.0,10.0,9.896966,,,,,,,-0.21567154,
NOR,100.0,0.0,9.954545,10.023933,,,,,,,-0.2757535,
NPL,0.0,1.0,,6.937314,1.0,7.0,1.0,1.0,,,,
NZL,93.0,1.0,9.727273,9.756147,7.0,7.0,10.0,7.0,8.55,2.1459312,-0.33267942,1.0
OMN,0.0,1.0,7.1363635,9.208339,,,,,,,-0.85802186,
PAK,0.0,1.0,6.0454545,7.3524413,1.0,3.0,0.0,1.0,36.99,3.6106477,-2.0557249,1.0
PAN,20.0,1.0,5.909091,8.836374,3.0,7.0,0.0,1.0,163.3,5.095589,-1.5005835,1.0
PER,30.000002,1.0,5.7727275,8.396154,1.0,7.0,4.0,3.0,71.0,4.26268,-1.4396951,1.0
PHL,1.0,1.0,5.4545455,8.098643,3.0,7.0,0.0,1.0,,,-2.0714734,
PNG,0.0,1.0,7.2727275,,7.0,7.0,0.0,1.0,170.0,5.1357985,-2.5510464,
POL,100.0,0.0,7.681818,8.655214,,,,,,,-1.4354845,
PRK,0.0,0.0,,,,,,,,,,
PRT,100.0,0.0,9.181818,9.489486,,,,,,,-1.005122,
PRY,25.0,1.0,6.9545455,8.207947,1.0,5.0,1.0,2.0,78.1,4.3579903,-1.7719568,1.0
QAT,0.0,1.0,7.7272725,9.685331,,,,,,,,
ROM,100.0,0.0,7.2727275,8.387085,,,,,,,-2.1803675,
RUS,100.0,0.0,8.454545,8.405144,,,,,,,-0.8746691,
RWA,0.0,1.0,,6.4769726,1.0,1.0,0.0,1.0,280.0,5.6347895,-3.1465552,
SAU,0.0,1.0,7.590909,9.2399,,,,,,,-0.638659,
SDN,0.0,1.0,4.0,7.3065314,7.0,1.0,0.0,1.0,88.2,4.479607,-2.7030625,1.0
SEN,0.0,1.0,6.0,7.4024515,3.0,3.0,0.0,1.0,164.66,5.103883,-2.6310892,1.0
SGP,4.0,1.0,9.318182,10.146434,7.0,3.0,0.0,1.0,17.7,2.8735647,-0.5008753,1.0
SLE,0.0,1.0,5.818182,6.253829,,3.0,,,483.0,6.1800165,-2.748872,1.0
SLV,20.0,1.0,5.0,7.948032,3.0,,,3.0,78.1,4.3579903,-1.8515095,1.0
SOM,0.0,1.0,3.0,,7.0,1.0,0.0,1.0,,,-3.015935,
STP,100.0,1.0,8.409091,,,,,,,,,
SUR,1.0,,4.681818,8.01,,,,1.0,32.18,3.4713452,-1.3704209,
SVK,100.0,0.0,,8.852236,,,,,,,,
SVN,,0.0,,9.300181,,,,,,,,
SWE,100.0,0.0,9.5,9.866304,,,,,,,-0.23952703,
SWZ,0.0,1.0,,8.10772,2.0,1.0,0.0,1.0,,,-1.8078889,
SYR,0.0,1.0,5.818182,8.029433,,,,,,,-0.8255364,
TCD,0.0,1.0,,6.8351846,1.0,1.0,0.0,1.0,280.0,5.6347895,-3.4420192,
TGO,0.0,1.0,6.909091,7.222566,3.0,1.0,0.0,1.0,668.0,6.504288,-3.218876,1.0
THA,0.0,0.0,7.6363635,8.774931,,,,,140.0,4.9416423,-1.8515095,
TJK,,0.0,,6.8875527,,,,,,,,
TKM,,0.0,,7.6401234,,,,,,,,
TTO,40.0,1.0,7.4545455,8.76873,7.0,7.0,0.0,1.0,85.0,4.4426513,-0.69715524,1.0
TUN,3.0,1.0,6.4545455,8.482602,1.0,3.0,0.0,1.0,63.0,4.1431346,-1.5278579,1.0
TUR,0.0,0.0,7.4545455,8.641179,,,,,,,-1.5232602,
TWN,0.0,0.0,9.227273,,,,,,,,-0.809681,
TZA,0.0,1.0,6.6363635,6.253829,3.0,3.0,0.0,1.0,145.0,5.6347895,-3.4420192,1.0
UGA,0.0,1.0,4.4545455,6.9660244,7.0,3.0,0.0,1.0,280.0,5.6347895,-3.4420192,1.0
UKR,100.0,0.0,,7.8119736,,,,,,,,
URY,60.000004,1.0,7.0,9.031214,1.0,3.0,1.0,1.0,71.0,4.26268,-1.0788096,1.0
USA,87.5,1.0,10.0,10.21574,7.0,7.0,10.0,7.0,15.0,2.7080503,0.0,1.0
UZB,,0.0,,7.8079166,,,,,,,,
VEN,20.0,1.0,7.1363635,9.071078,1.0,3.0,1.0,3.0,78.1,4.3579903,-0.7031975,1.0
VNM,0.0,1.0,6.409091,7.279319,1.0,3.0,0.0,1.0,140.0,4.9416423,,1.0
YEM,0.0,1.0,6.3636365,6.6463904,,,,,,,-1.551169,
YUG,100.0,0.0,6.318182,,,,,,,,-1.2039728,
ZAF,22.0,1.0,6.8636365,8.885994,3.0,7.0,3.0,3.0,15.5,2.74084,-1.3862944,1.0
ZAR,8.0,1.0,3.5,6.8669333,1.0,1.0,0.0,1.0,240.0,5.480639,-3.4112477,1.0
ZMB,3.0,1.0,6.6363635,6.8134446,3.0,1.0,0.0,1.0,,,-2.9759297,
ZWE,7.2,1.0,6.0,7.696213,7.0,3.0,0.0,1.0,,,-2.7333682,
